"price","host_is_superhost","neighborhood","latitude","longitude","property_type","accommodates","bedrooms","beds","cleaning_fee","minimum_nights","availability_365","review_scores_rating","cancellation_policy"
140,"False","Manhattan",40.7288,-73.98192,"Appartment",1,1,1,70,7,34,97,"strict"
120,"True","Brooklyn",40.66853,-73.98912,"Appartment",3,1,1,0,30,227,99,"strict"
350,"False","Manhattan",40.7254,-73.98157,"Appartment",6,2,4,75,2,359,93,"strict"
325,"True","Brooklyn",40.71942,-73.95748,"House",6,3,4,125,3,165,96,"flexible"
235,"False","Manhattan",40.77823,-73.97637,"Appartment",4,2,3,120,6,0,92,"strict"
150,"False","Manhattan",40.74968,-74.00052,"Appartment",4,1,3,45,1,364,90,"strict"
225,"False","Manhattan",40.72555,-73.97965,"Appartment",4,1,3,0,1,359,94,"strict"
99,"True","Brooklyn",40.66831,-73.98604,"House",2,1,2,100,2,55,98,"strict"
170,"True","Manhattan",40.82754,-73.94919,"Appartment",6,1,1,0,2,346,95,"strict"
400,"False","Brooklyn",40.66499,-73.97925,"Appartment",9,2,6,120,2,341,95,"strict"
170,"False","Manhattan",40.77842,-73.97556,"Appartment",2,1,2,60,7,160,92,"strict"
100,"False","Manhattan",40.72245,-73.98527,"Appartment",3,1,2,75,4,0,97,"strict"
90,"False","Brooklyn",40.71923,-73.96468,"Appartment",2,1,1,0,1,365,91,"flexible"
150,"False","Manhattan",40.778,-73.94822,"Appartment",4,1,2,75,5,128,99,"moderate"
70,"False","Brooklyn",40.68332,-73.9547,"Appartment",2,1,1,0,3,296,93,"strict"
110,"False","Manhattan",40.81618,-73.94894,"Appartment",4,1,3,80,30,291,92,"strict"
89,"True","Brooklyn",40.68414,-73.96351,"Appartment",2,1,1,50,3,364,98,"moderate"
185,"False","Manhattan",40.72392,-73.99143,"Appartment",3,1,1,50,3,306,95,"strict"
50,"True","Brooklyn",40.73494,-73.9503,"Appartment",2,1,1,45,3,0,98,"strict"
130,"True","Manhattan",40.76754,-73.98399,"Appartment",1,1,1,100,1,346,97,"strict"
115,"False","Manhattan",40.73442,-74.00303,"Appartment",2,0,1,200,29,54,93,"strict"
77,"False","Brooklyn",40.63188,-73.93248,"House",2,3,1,20,2,178,87,"strict"
76,"False","Brooklyn",40.68818,-73.96383,"Appartment",2,1,1,25,2,299,90,"moderate"
125,"False","Brooklyn",40.68296,-73.93662,"Appartment",4,2,2,0,3,208,93,"strict"
135,"True","Brooklyn",40.68513,-73.96648,"Appartment",3,1,2,90,4,365,97,"strict"
199,"False","Brooklyn",40.71561,-73.94835,"Appartment",3,1,1,150,3,185,100,"strict"
160,"False","Manhattan",40.72895,-73.98377,"Appartment",1,1,1,60,14,363,100,"strict"
140,"False","Brooklyn",40.6857,-73.99183,"Appartment",3,2,1,60,2,0,90,"moderate"
140,"False","Queens",40.74028,-73.83168,"House",2,1,1,0,2,34,80,"flexible"
115,"False","Brooklyn",40.68281,-73.93524,"Appartment",6,1,5,0,3,188,92,"strict"
195,"True","Brooklyn",40.71492,-73.95935,"Appartment",2,1,1,65,4,289,99,"strict"
109,"False","Manhattan",40.78849,-73.96883,"Appartment",2,1,1,80,10,362,100,"strict"
156,"True","Manhattan",40.73474,-74.00101,"Appartment",2,1,1,0,4,364,99,"flexible"
125,"True","Brooklyn",40.71536,-73.96057,"Appartment",2,1,1,70,3,364,94,"strict"
115,"False","Brooklyn",40.67447,-73.96619,"Appartment",4,2,4,150,15,127,70,"strict"
59,"False","Manhattan",40.79295,-73.93997,"Appartment",2,1,1,30,3,268,95,"strict"
200,"True","Manhattan",40.73226,-74.00401,"Appartment",2,1,2,150,45,362,98,"strict"
125,"False","Brooklyn",40.71363,-73.96398,"Appartment",2,1,1,80,6,127,88,"moderate"
150,"False","Manhattan",40.75295,-73.99801,"Appartment",4,2,2,100,10,0,99,"moderate"
162,"False","Manhattan",40.72125,-73.98177,"Appartment",4,2,3,100,2,66,90,"moderate"
219,"True","Manhattan",40.77711,-73.9527,"Appartment",2,1,2,95,4,323,95,"strict"
475,"False","Brooklyn",40.68559,-73.98094,"House",13,5,5,200,3,318,93,"strict"
99,"False","Manhattan",40.77456,-73.95323,"Appartment",4,1,1,60,1,196,83,"strict"
69,"False","Brooklyn",40.71088,-73.95055,"Appartment",2,1,1,0,4,79,96,"moderate"
119,"False","Manhattan",40.76233,-73.98854,"Appartment",2,1,1,65,3,157,97,"strict"
